코드,대분류,사유명,정의,자동 탐지 신호,근거 문서,표준 대응,대응 리드타임,책임주체
RC-nn · 표준 고정값,범위/관리/일정/품질/자원/외부/기술/환경,,어떤 상황을 이 코드로 분류하는가,시스템이 원인을 추정하는 규칙,판정에 사용하는 산출물,,조치 착수 ~ 효과 발현,PM/PMO/PL/고객/운영위/외부
RC-01,범위,요건 변경,승인된 변경요청(CR)이 기존 일정에 반영되지 않아 발생한 지연,연관 CR의 승인일 > TASK 계획시작일 AND 영향공수>0 AND 재기준선반영='N',"CR대장, 운영위 회의록","CR 영향분 재기준선 승인 후 일정 재산정, 미반영 구간 소급 정산",3~5일,운영위
RC-02,관리,의사결정 지연,회의록 미결사항이 결정필요일을 초과해 후속 작업이 착수·확정되지 못함,미결사항 결정필요일 경과 >= 5영업일 AND 해당 WBS가 선행 또는 CP,"회의록 미결사항, 액션아이템","운영위·현업 의사결정 회의체 긴급 상정, 결정 SLA(3영업일), 잠정안 기준 병행 착수",3~7일,고객/운영위
RC-03,일정,선행공정 지연(연쇄),선행 TASK가 완료되지 않아 후행 TASK가 착수 불가하거나 부분 착수,선행TASK 진척<100% AND 후행 계획시작일 경과,WBS 선행관계,"크리티컬패스 집중투입, Mock/스텁 기반 분할 병행 착수 승인",5~10일,PM/PL
RC-04,품질,산출물 미승인·보완,선행조건인 설계 산출물이 승인되지 않아 후행 TASK 착수 불가,산출물 계획완료일 경과 AND 검토상태 != '승인' AND 후행착수TASK 존재,설계 산출물 목록,"리뷰 회차 단축(주2회), 조건부 승인 + 확정 구간 선착수",3~7일,PL/PMO
RC-05,관리,액션아이템 미이행,회의에서 도출된 액션아이템이 기한 내 미이행되어 작업이 정체,AI 상태!='완료' AND 기한 경과 AND 지연영향도='H',액션아이템 대장,"담당 재지정 및 일일 트래킹, 에스컬레이션 전환",2~5일,PMO
RC-06,자원,자원 과부하·투입 지연,담당자 동시 수행 부하 초과 또는 계획 인력 미투입,담당자 일할당공수 > 1.0MD OR 동시진행TASK >= 4,"WBS 담당자별 부하, 투입계획","부하 재분배, 증원 투입, 비핵심 TASK 후순위 조정",7~14일,PM
RC-07,외부,외부 의존성,대외기관·타사·고객 현업 측 산출물이나 회신 지연으로 진행 불가,연관 이슈 중 외부의존='Y' AND 상태!='종결' AND 조치기한 경과,"이슈대장, 대외·현업협의 회의록","협의체 정례화, 공식 통보(계약상 지연 고지), Mock 기반 병행개발",7~21일,PM/고객
RC-08,품질,품질 재작업,검토 반려·결함으로 산출물 또는 코드 재작업 발생,산출물 검토회차 >= 2 OR 미조치의견 > 5 OR 반려 이력 존재,"설계 산출물 목록, 설계리뷰 회의록","근본원인 분석, 설계 체크리스트 강화, 시니어 리뷰 지원 투입",5~10일,PL
RC-09,기술,기술 난이도·검증 미흡,시뮬레이션·기술 검증 결과가 목표 지표에 미달하거나 예상보다 공수 초과,검증 판정='미달' OR (투입공수/계획공수 > 1.3 AND 진척률 < 계획진척률),"검증 결과 리뷰 회의록, 엔진 설계서","미달 원인을 엔진 설계/입력조건으로 분리, 입력조건 선해소 후 재검증",7~14일,아키텍트
RC-10,환경,환경·데이터·인프라 미비,"기준정보, 개발/테스트 환경, 단말, 현장 회신 미비로 작업 불가",연관 이슈 유형='환경/데이터' AND 상태!='종결' AND 계획시작일 경과,"이슈대장, 기준정보 정의서","기준 수립 지원(초안 대행), 임시값 선적용, 환경 구축 우선순위 상향",3~14일,인프라/고객
