기준일,경과일,실적진척률(%),계획진척률(%),계획대비달성률(%),진척편차(%p),지연TASK(건),누적지연일수,회의록누적(건),미결누적(건),5영업일초과미결(건),AI기한초과(건),미종결이슈(건),CR재기준선미반영(건)
주간(금요일) 기준 추이 · 착수 2026-07-01 ~ 데이터 기준일 2026-10-08,,,,,,,,,,,,,
2026-07-03,3,0.9,0.9,100.0,0.0,0,0,0,0,0,0,0,0
2026-07-10,10,2.9,2.9,100.0,0.0,0,0,0,0,0,0,0,0
2026-07-17,17,4.9,4.9,100.0,0.0,0,0,1,0,0,0,1,0
2026-07-24,24,5.9,5.9,100.0,0.0,0,0,1,0,0,0,1,0
2026-07-31,31,7.2,7.2,100.0,0.0,0,0,2,0,0,0,1,0
2026-08-07,38,9.1,9.1,100.0,0.0,0,0,2,0,0,0,1,0
2026-08-14,45,10.7,10.8,99.1,-0.1,0,0,3,1,0,0,1,0
2026-08-21,52,13.5,13.9,97.1,-0.4,0,0,4,2,1,0,1,0
2026-08-28,59,17.0,17.6,96.6,-0.6,0,0,5,2,2,0,1,0
2026-09-04,66,20.0,20.8,96.2,-0.8,0,0,6,3,2,0,2,0
2026-09-11,73,24.4,25.7,94.9,-1.3,0,0,9,8,3,0,1,0
2026-09-18,80,28.5,30.5,93.4,-2.0,0,0,12,13,6,0,1,1
2026-09-25,87,32.5,35.7,91.0,-3.2,0,0,12,13,9,3,1,1
2026-10-02,94,36.7,41.3,88.9,-4.6,3,11,14,18,9,3,4,1
2026-10-09,101,40.3,46.3,87.0,-6.0,7,53,17,24,11,5,8,1
