산출물ID,산출물명,유형,버전,작성자,계획완료일,실제완료일,검토상태,검토회차,검토의견건수,미조치의견,승인일,승인자,연관WBS_ID,후행착수TASK,보관경로
기준일 2026-09-18 스냅샷 · 해당 일자까지의 데이터만 포함,,,,,,,,,,,,,,,
DS-006,근로시간 준수 규칙 정의서,요건,v0.9,도담,2026-10-06,,작성중,1,8,3,,,3.2.2,4.3.2;4.6.3;6.3,/design/DS-006_근로시간_준수규칙_정의서.md
DS-011,모바일 근태 화면 설계서,화면,v0.8,여울,2026-10-02,,작성중,2,15,6,,,4.2.3,5.2.3,/docs/04_설계/DS-011
DS-014,근무유형·근태규칙 표준 정의서,아키텍처,v0.7,두루,2026-09-29,,작성중,2,12,5,,,4.3.2,5.4.1;4.6.3;4.5.2,/design/DS-014_근무유형_근태규칙_표준정의서.md
DS-015,AI 스케줄 자동편성 엔진 설계서,AI모델,v0.6,두루;새벽,2026-10-16,,작성중,0,0,0,,,4.6.2;4.6.3;4.6.4,5.4.1;5.4.2;5.4.3;6.3,/design/DS-015_AI_스케줄_자동편성_엔진_설계서.md
DS-016,편성 기준정보 정의서,데이터,v0.4,새벽;너울,2026-09-25,,작성중,0,0,0,,,4.6.1,4.6.2;5.4.2,/design/DS-016_편성기준정보_정의서.md
DS-021,급여 연계 데이터 이관·정합성 설계서,DB,v0.6,너울,2026-10-27,,작성중,1,23,9,,,4.5.2,6.2;7.1,/design/DS-021_급여연계_데이터이관_정합성_설계서.md
DS-009,시스템 아키텍처 정의서,아키텍처,v1.0,두루,2026-09-18,2026-09-18,검토중,1,6,0,,,4.1,4.3;4.5;4.6,/docs/04_설계/DS-009
DS-010,공통 화면 표준/가이드,화면,v1.0,여울,2026-09-11,2026-09-04,승인,1,4,0,2026-09-14,미르,4.2.1,4.2.2;4.2.3;5.1.4,/docs/04_설계/DS-010
DS-013,근무 도메인 모델 정의서,아키텍처,v1.0,두루,2026-09-16,2026-09-16,승인,1,5,0,2026-09-18,미르,4.3.1,4.3.2,/docs/04_설계/DS-013
DS-020,논리/물리 DB 설계서,DB,v1.0,너울,2026-09-18,2026-09-18,검토중,2,11,0,,,4.5.1,4.5.2;5.1,/docs/04_설계/DS-020
DS-012,점포 관리자 포털·편성 검토 화면 설계서,화면,v1.0,여울,2026-09-22,,작성중,1,7,0,,,4.2.2,5.4.3,/docs/04_설계/DS-012
