규칙ID,규칙명,입력 데이터,판정식,도출 원인코드,가중치,신뢰도 가산,자동 권고 조치
R-nn,,조인 대상 문서,의사코드,RC-nn,주원인 선정 점수(0~1),근거 문서 수 기반,
R-01,요건변경 소급 탐지,WBS + CR대장,CR.승인일 > TASK.계획시작일 AND CR.영향공수 > 0 AND CR.재기준선반영 = 'N',RC-01,0.9,CR 1건당 +0.30 (최대 0.90),재기준선 상정 · 영향공수 일정 반영
R-02,미결사항 정체 탐지,WBS + 회의록,MAX(기준일 − 미결.결정필요일) >= 5 AND TASK.CP여부 = 'Y',RC-02,0.95,미결 이월 1회당 +0.25,운영위·노사협의회 긴급 상정 · 결정 SLA 3일
R-03,선행 연쇄지연 탐지,WBS 선행관계,EXISTS(선행.진척률 < 100) AND 기준일 >= TASK.계획시작일,RC-03,0.85,미완 선행 1건당 +0.30,Mock 병행 착수 · 크리티컬패스 집중투입
R-04,산출물 미승인 탐지,WBS + 산출물목록,산출물.검토상태 != '승인' AND 기준일 > 산출물.계획완료일 AND 후행착수TASK 존재,RC-04,0.8,미조치의견 5건당 +0.20,조건부 승인 · 리뷰 회차 단축
R-05,액션아이템 정체 탐지,WBS + AI대장,EXISTS(AI.상태 != '완료' AND 기준일 > AI.완료기한 AND AI.지연영향도 = 'H'),RC-05,0.75,기한초과 AI 1건당 +0.25,담당 재지정 · 일일 트래킹 · 에스컬레이션
R-06,자원 과부하 탐지,WBS 담당자 집계,담당자.동시진행TASK >= 4 OR 담당자.일할당공수 > 1.0,RC-06,0.7,부하율 0.1 초과당 +0.10,부하 재분배 · 증원 품의
R-07,외부 의존 탐지,WBS + 이슈대장,EXISTS(이슈.외부의존 = 'Y' AND 상태 != '종결' AND 기준일 > 조치기한),RC-07,0.9,조치기한 경과 7일당 +0.20,협의체 정례화 · 공식 통보 · Mock 개발
R-08,재작업 탐지,WBS + 산출물 + 회의록,산출물.검토회차 >= 2 OR 산출물.미조치의견 > 5 OR 회의록에 반려 이력,RC-08,0.8,검토회차 1회당 +0.25,근본원인 분석 · 설계 체크리스트 강화
R-09,검증 미달 탐지,WBS + 검증 결과 + 산출물,검증.판정 = '미달' AND 기준일 > TASK.계획종료일,RC-09,0.85,미달 지표 1종당 +0.10,미달 원인을 엔진설계/입력조건으로 분리 · 입력조건 선해소
R-10,데이터·환경 미비 탐지,WBS + 이슈대장 + 기준정보,"EXISTS(이슈.유형 IN ('환경','데이터') AND 상태 != '종결') AND 기준일 >= TASK.계획시작일",RC-10,0.85,미확보 기준정보 1종당 +0.15,기준 수립 지원 · 임시값 선적용 · 워크숍 개최
