점검ID,점검명,대상,점검 조건,심각도,미조치 시 영향,조치 담당
V-nn,,,,치명/경고/정보,분석 결과에 미치는 영향,
V-01,지연사유코드 누락,WBS,기준일 > 계획종료일 AND 진척률 < 100 AND 지연사유코드 IS NULL,치명,지연 원인 분류 불가 · Pareto 집계에서 누락,해당 TASK 담당자
V-02,미결사항 결정필요일 누락,회의록,미결건수 > 0 AND 결정필요일 IS NULL,치명,RC-02(의사결정 지연) 자동 탐지 불가,회의 주관자
V-03,액션아이템 WBS 미연결,액션아이템 대장,연관WBS_ID IS NULL,치명,AI 정체가 어느 일정에 영향을 주는지 추적 불가,PMO
V-04,산출물-TASK 상태 모순,WBS + 산출물,TASK.상태 = '완료' AND 산출물.검토상태 != '승인',경고,완료 처리된 TASK의 실제 미완 · 진척률 과대계상,PL
V-05,실제일자 역전,WBS,실제시작일 > 실제종료일,치명,기간 계산 오류 · EVM 왜곡,해당 TASK 담당자
V-06,완료 TASK 종료일 누락,WBS,진척률 = 100 AND 실제종료일 IS NULL,경고,실적 S-Curve 왜곡,해당 TASK 담당자
V-07,선행 미완 상태 후행 착수,WBS,선행.진척률 < 100 AND TASK.실제시작일 IS NOT NULL,정보,공식 승인 없는 병행 착수 · 재작업 리스크,PL
V-08,CR 재기준선 미반영,CR대장,승인상태 = '승인' AND 재기준선반영 = 'N' AND 승인일 + 10일 < 기준일,치명,계획진척률 과소 산정 · SPI 왜곡(실제보다 나쁘게 보임),PMO
V-09,담당자 부하 초과,WBS 집계,담당자 일할당 계획공수 > 1.0MD,경고,계획 자체가 실행 불가 · 구조적 지연 예약,PM
V-10,계획종료일 누락,WBS,계획종료일 IS NULL AND 레벨 >= 3,치명,지연 판정 대상에서 제외 · 리포트 사각지대,해당 TASK 담당자
