ID,구분,제목,상세내용,발생·식별일,등급,발생확률(%),영향영역,연관WBS_ID,담당자,조치기한,조치내용,상태,종결일,외부의존,대외기관
ISS-nnn(이슈) / RSK-nnn(리스크) · 필수,이슈/리스크,,,YYYY-MM-DD · 필수,치명/높음/보통/낮음 · 필수,리스크만 기재,일정/원가/품질/범위 (복수 ;),세미콜론(;) · 필수,,YYYY-MM-DD,,신규/진행/종결/보류,YYYY-MM-DD,Y/N · Y면 RC-07 판정 근거,외부의존 Y일 때 필수
ISS-014,이슈,특이근태 예외 처리 방침 미확정으로 제약식 확정 불가,자동편성 로직 수립 중 표준 14종으로 판정 불가한 특이근태 23종 도출. 9종만 확정되고 14종은 현업 회신 대기. 이 중 5종은 하드 제약과 직접 충돌해 제약식을 확정할 수 없음,2026-09-29,치명,,일정;원가;품질,4.3.2;4.6.3;5.4.1,나루,2026-10-08,"인사팀 TF 단일창구 설치(10-12). 결정 SLA 3영업일 요청. 확정 9종 기준 선구현, 미결 14종은 후처리 필터 우회",진행,,Y,고객 인사팀
ISS-018,이슈,필요인원 기준정보 미확보 (27개점),71개점 중 44개점만 필요인원 기준 확정. 미회신 27개점 중 16개점은 기준 자체가 부재(점포장 경험 편성). 엔진이 슬롯별 소요 인원을 알 수 없어 배정 계산 불가,2026-09-29,높음,,일정;품질,4.6.1;4.6.2;5.4.2,새벽,2026-10-08,기준 수립 워크숍 10-13 착수(본사가 초안 작성). 부문 매핑표 제공,진행,,Y,고객 점포운영팀
ISS-019,이슈,배정 최적화 1차 시뮬레이션 지표 미달,"형평성 지니 0.31(목표 0.15), 충족률 91.2%(목표 95%), 희망반영 58%(목표 70%), 최적화 412초(목표 180초). 법정 제약 위반은 0건. 4개 미달 중 3개가 입력 조건 미확정에서 기인",2026-10-06,높음,,품질;일정,4.6.2;6.3,새벽,2026-10-23,알고리즘 교체 보류. DS-014 확정 + 기준정보 확보 후 2차 시뮬레이션. 형평성 상한 HC-13 하드 제약 승격,진행,,N,
ISS-016,이슈,급여 연계 설계 재작업으로 병행운영 검증 일정 압박,1차 검토 반려(의견 23건). 급여 병행운영은 마감 주기 종속으로 압축 불가하며 11월분 검증이 오픈 이후가 됨,2026-10-01,보통,,일정;품질,4.5.2;6.2,너울,2026-10-27,"수당 산정 규칙 체크리스트 확정, 노무법인 자문 10-23. 병행운영 일정 재조정 검토",진행,,N,
ISS-012,이슈,근태단말 펌웨어 v3.2 규격 회신 지연,"생체인식 단말 1,240대 신규 펌웨어 API 규격 미회신. 현행 v3.0 기반 선설계 진행 중",2026-09-04,보통,,일정,5.3,바름,2026-10-20,공문 2회 발송. v3.0 기반 Mock 병행개발로 5.3 착수 가능 상태 확보,진행,,Y,○○테크 개발팀
RSK-007,리스크,개발 인력 부족에 따른 구현 단계 지연 확대,PL 1인이 동시 5개 TASK 수행(일할당 1.40MD). AI 엔진 개발과 공통 모듈이 동일 담당자에 집중,2026-10-06,높음,70,일정;품질,5.1;5.4,나루,2026-10-13,개발 2명 증원 품의(AI-083). 부하 재분배 계획 수립,진행,,N,
RSK-009,리스크,연말 성수기 IT 변경 동결 구간 진입,오픈이 2026-12-14 이후로 밀리면 변경 동결(12-14~2027-01-08)에 걸려 오픈이 2027-01-11로 이월. 계획 대비 56일 지연,2026-10-07,높음,60,일정;범위,7;8,나루,2026-10-27,만회 계획 7건 실행으로 12-09 오픈 확보. 주간 오픈 준비도 점검 신설,진행,,N,
RSK-011,리스크,전점 확산 기간 압축에 따른 현장 혼선,71개점 순차 확산 기간이 3주→2주로 압축될 경우 점포 교육·병행운영 부족. AI 편성은 현장 수용성이 핵심이라 교육 부족은 도입 실패로 직결,2026-10-07,보통,45,품질;일정,7,모아,2026-10-30,"권역별 4개 그룹 동시 확산안 검토, 점포장 교육 사전 배포",신규,,N,
ISS-009,이슈,현행 근태 데이터 정합성 오류 발견,AS-IS 근태 데이터 중 0.8%에서 출퇴근 기록과 급여 지급 시간 불일치 확인,2026-07-14,보통,,품질;범위,3.1;4.5.2,너울,2026-09-04,정합성 보정 로직 설계 반영 완료,종결,2026-09-08,N,
