AI_ID,출처회의ID,액션내용,유형,담당자,등록일,완료기한,완료일,상태,지연일수,연관WBS_ID,연관산출물ID,지연영향도,에스컬레이션,조치결과 / 비고
기준일 2026-09-11 스냅샷,,,,,,,,,,,,,,
AI-041,MT-2026-022,AS-IS 실태조사 대상 점포 목록 확정 및 조사표 배포,산출물보완,도담,2026-07-29,2026-08-07,2026-08-06,완료,0,3.1,DS-003,M,N,완료
AI-045,MT-2026-023,현행 근무유형 47종 조사 결과 정리,기술검토,도담,2026-08-12,2026-08-21,2026-08-20,완료,0,3.1;4.3.2,DS-003,M,N,완료
AI-048,MT-2026-024,근무유형 표준 14종 요건 확정본 작성,결정이행,도담,2026-08-21,2026-08-28,2026-08-28,완료,0,3.2.1,DS-005,H,N,완료 · DS-014 입력값
AI-051,MT-2026-025,부문 표준 코드 매핑표 작성,산출물보완,너울,2026-08-26,2026-09-04,,진행,7,3.2;4.5.1,DS-008,M,N,완료
AI-054,MT-2026-026,아키텍처 정의서 검토의견 6건 조치,산출물보완,두루,2026-09-02,2026-09-11,2026-09-10,완료,0,4.1,DS-009,M,N,완료
AI-057,MT-2026-027,편성 기준정보 수집 템플릿 배포(71개점),대외협의,새벽,2026-09-09,2026-09-16,2026-09-04,완료,0,4.6.1,DS-016,H,N,완료 · 회신 대기 시작
AI-065,MT-2026-030,탄력근로제 단위기간 확정 요청 공문 발송 및 회신 수령,대외협의,도담,2026-09-11,2026-09-18,,진행,0,3.2.2,DS-006,H,Y,2차 독촉 10-01. 잠정 3개월 기준 설계 병행
AI-061,MT-2026-028,공통 화면 표준 가이드 배포,산출물보완,여울,2026-08-28,2026-09-11,,진행,0,4.2.1,DS-010,L,N,완료
AI-063,MT-2026-028,파일럿 3개점 근태단말 테스트 계정 발급 요청,대외협의,바름,2026-09-04,2026-09-16,,진행,0,5.3,,M,N,완료
