회의ID,회의일자,회의명,유형,주관,참석자,안건수,결정건수,미결건수,최장미결일수,연관WBS_ID,연관산출물ID,파생액션아이템,핵심 결정사항,핵심 미결사항,회의록 파일
MT-YYYY-nnn · 필수,YYYY-MM-DD · 필수,,정기주간/설계리뷰/이슈해결/현업협의/운영위/대외협의/의사결정,,쉼표 구분,숫자,숫자,숫자,기준일 − 최초 결정필요일 (자동),세미콜론(;) 복수 · 필수,세미콜론(;) 복수,AI-nnn 세미콜론(;),,결정필요일 / 결정권자 반드시 병기,경로 또는 링크
MT-2026-029,2026-09-15,편성 기준정보 수집 현황 점검,고객협의,새벽,"새벽, 너울, 고객 점포운영팀 3인",4,2,2,9,4.6.1;4.6.2,DS-016,AI-069;AI-088,수집 템플릿 확정 · 대표 패턴만 입력 후 배수 규칙 자동 확장 합의,미회신 27개점 필요인원 기준 확정 (결정필요일 2026-09-29 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-029.md
MT-2026-030,2026-09-11,근로시간 준수 요건 확인 고객협의,고객협의,도담,"도담, 나루, 고객 인사팀 2인",4,2,1,14,3.2.2,DS-006,AI-065,휴게시간 자동 분할 기록 원칙 확정,탄력근로제 단위기간 3개월/6개월 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀장),./minutes/MT-2026-030.md
MT-2026-031,2026-09-16,특이근태 예외 처리 방침 1차 협의,의사결정,나루,"고객 인사팀 3인, 점포운영팀 2인, PM, 두루",6,3,2,14,4.3.2;4.6.3;5.1.4,DS-014;DS-015,AI-072;AI-078,D-01 근무 도메인 모델 확정 · D-02 편성 근거 3종 제공 의무화 · D-03 형평성 가중치 0.12→0.30 상향(최상위) · 예외 9종 처리 방침 확정,특이근태 예외 23종 중 미결 14종 처리 방침 확정 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀),./minutes/MT-2026-031.md
MT-2026-032,2026-09-18,제3차 운영위원회,운영위,미르,"운영위원 6인, PM, PMO",6,5,1,14,4.2.3;5.2.3,DS-011,AI-085,CR-2026-007(휴게시간 자동분할) 승인 · 영향공수 +12MD,재기준선(안) 승인 (결정필요일 2026-10-08 / 결정권자: 운영위),./minutes/MT-2026-032.md
MT-2026-033,2026-09-29,제12주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",7,4,3,9,4.2.3;4.3.2;5.1.4,,AI-076,결재선 매트릭스 초안 검토,특이근태 예외 처리 방침 2회차 이월 (결정필요일 2026-10-01 / 결정권자: 고객 인사팀),./minutes/MT-2026-033.md
MT-2026-034,2026-10-01,급여 연계 설계서 1차 검토,설계리뷰,너울,"너울, 도담, 고객 급여담당 2인",4,1,2,7,4.5.2;6.2,DS-021,AI-076,1차 반려 · 검토의견 23건(수당 산정 규칙 17건) 조치 후 재상정,단시간 초과근로 동의 절차 (결정필요일 2026-10-06 / 결정권자: 고객 인사팀),./minutes/MT-2026-034.md
MT-2026-035,2026-10-06,특이근태 예외 처리 방침 3차 협의,의사결정,나루,"고객 인사팀 3인, 급여팀 1인, PM",8,3,4,14,4.3.2;5.4.1;4.6.3,DS-014,AI-081,확정 9종 기준 제약셋 우선 구현 · 미결 14종은 후처리 필터로 임시 우회 결정,하드 제약 충돌 5종(E-04/07/09/12/19) 방침 3회차 이월 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀),./minutes/MT-2026-035.md
MT-2026-036,2026-10-07,AI 스케줄 엔진 착수지연 이슈대응,이슈해결,벼리,"벼리, 나루, 미르, 새벽",3,3,0,0,5.4.1;4.6.1,,AI-083,개발 2명 증원 품의 · 현업 의사결정 단일창구(인사팀 TF) 설치 · 기준 수립 워크숍 개최 합의,-,./minutes/MT-2026-036.md
MT-2026-037,2026-10-06,배정 최적화 1차 시뮬레이션 결과 리뷰,설계리뷰,새벽,"새벽, 두루, 모아, 고객 인사팀 1인",5,2,2,3,4.6.2;6.3,DS-015;DS-016,AI-090,미달 판정 · 형평성 상한을 하드 제약(HC-13)으로 승격 의결 · 입력 조건 해소 후 2차 시뮬레이션,형평성 누적 대상 기간 3/6/12개월 (결정필요일 2026-10-16 / 결정권자: 고객 인사팀),./minutes/MT-2026-037.md
